package;class;method name;;;capabilities;;
java.io;FileInputStream;skip;long;long ;FS;;
java.io;RandomAccessFile;getFilePointer;long; ;FS;;
java.io;RandomAccessFile;length;long; ;FS;;
java.io;RandomAccessFile;open;void;java.lang.String,int ;FS;;
java.io;RandomAccessFile;read0;int; ;FS;;
java.io;RandomAccessFile;readBytes0;int;byte[],int,int ;FS;;
java.io;Win32FileSystem;checkAccess;boolean;java.io.File,int ;FS;1;
java.io;WinNTFileSystem;checkAccess;boolean;java.io.File,int ;FS;1;
sun.awt.image;JPEGImageDecoder;readImage;void;java.io.InputStream,byte[] ;FS;;
java.io;Win32FileSystem;setLastModifiedTime;boolean;java.io.File,long ;FS;1;
java.io;Win32FileSystem;setPermission;boolean;java.io.File,int,boolean,boolean ;FS;1;
java.io;Win32FileSystem;setReadOnly;boolean;java.io.File ;FS;1;
java.io;WinNTFileSystem;setLastModifiedTime;boolean;java.io.File,long ;FS;1;
java.io;WinNTFileSystem;setPermission;boolean;java.io.File,int,boolean,boolean ;FS;1;
java.io;WinNTFileSystem;setReadOnly;boolean;java.io.File ;FS;1;
com.sun.java.util.jar.pack;NativeUnpack;finish;long; ;FS;unpack;
com.sun.java.util.jar.pack;NativeUnpack;getNextFile;boolean;java.lang.Object[] ;FS;unpack;
com.sun.java.util.jar.pack;NativeUnpack;getOption;java.lang.String;java.lang.String ;FS;unpack;
com.sun.java.util.jar.pack;NativeUnpack;getUnusedInput;java.nio.ByteBuffer; ;FS;unpack;
com.sun.java.util.jar.pack;NativeUnpack;initIDs;void; ;NATIVE;unpack;
com.sun.java.util.jar.pack;NativeUnpack;setOption;boolean;java.lang.String,java.lang.String ;FS;unpack;
com.sun.java.util.jar.pack;NativeUnpack;start;long;java.nio.ByteBuffer,long ;FS;unpack;
java.io;FileDescriptor;initIDs;void; ;NATIVE;;
java.io;FileDescriptor;set;long;int ;FS;;
java.io;FileDescriptor;sync;void; ;FS;;
java.io;FileSystem;getFileSystem;java.io.FileSystem; ;FS;;
java.io;RandomAccessFile;close0;void; ;FS;;
java.io;RandomAccessFile;initIDs;void; ;NATIVE;;
java.io;RandomAccessFile;seek;void;long ;FS;;
java.io;Win32FileSystem;canonicalize0;java.lang.String;java.lang.String ;FS;1;
java.io;Win32FileSystem;canonicalizeWithPrefix0;java.lang.String;java.lang.String,java.lang.String ;FS;1;
java.io;Win32FileSystem;getBooleanAttributes;int;java.io.File ;FS;1;
java.io;Win32FileSystem;getDriveDirectory;java.lang.String;int ;FS;1;
java.io;Win32FileSystem;getLastModifiedTime;long;java.io.File ;FS;1;
java.io;Win32FileSystem;getLength;long;java.io.File ;FS;1;
java.io;Win32FileSystem;getSpace0;long;java.io.File,int ;FS;1;
java.io;Win32FileSystem;initIDs;void; ;NATIVE;1;
java.io;Win32FileSystem;list;java.lang.String[];java.io.File ;FS;1;
java.io;Win32FileSystem;listRoots0;int; ;FS;1;
java.io;Win32FileSystem;rename0;boolean;java.io.File,java.io.File ;FS;1;
java.io;WinNTFileSystem;canonicalize0;java.lang.String;java.lang.String ;FS;1;
java.io;WinNTFileSystem;canonicalizeWithPrefix0;java.lang.String;java.lang.String,java.lang.String ;FS;1;
java.io;WinNTFileSystem;getBooleanAttributes;int;java.io.File ;FS;1;
java.io;WinNTFileSystem;getDriveDirectory;java.lang.String;int ;FS;1;
java.io;WinNTFileSystem;getLastModifiedTime;long;java.io.File ;FS;1;
java.io;WinNTFileSystem;getLength;long;java.io.File ;FS;1;
java.io;WinNTFileSystem;getSpace0;long;java.io.File,int ;FS;1;
java.io;WinNTFileSystem;initIDs;void; ;NATIVE;1;
java.io;WinNTFileSystem;list;java.lang.String[];java.io.File ;FS;1;
java.io;WinNTFileSystem;rename0;boolean;java.io.File,java.io.File ;FS;1;
sun.net.dns;ResolverConfigurationImpl;init0;void; ;NATIVE;net;1
sun.net.dns;ResolverConfigurationImpl;loadDNSconfig0;void; ;NET;net;1
sun.net.dns;ResolverConfigurationImpl;notifyAddrChange0;int; ;NET;net;1
java.lang;Class;getGenericSignature;java.lang.String; ;REFLECTION;;
java.lang;Class;getInterfaces;java.lang.Class[]; ;REFLECTION;;
java.lang;Class;getModifiers;int; ;REFLECTION;;
java.lang;Class;getPrimitiveClass;java.lang.Class;java.lang.String ;REFLECTION;;
java.lang;Class;getRawAnnotations;byte[]; ;REFLECTION;;
java.lang;Class;getSigners;java.lang.Object[]; ;REFLECTION;;
java.lang;Class;getSuperclass;java.lang.Class; ;REFLECTION;;
